name,hex_value
AliceBlue,#F0F8FF
AntiqueWhite  ,#FAEBD7
Aqua,#00FFFF
Aquamarine,#7FFFD4
Azure,#F0FFFF
Beige,#F5F5DC
Black,#000000
Blue,#0000FF
BlueViolet,#8A2BE2
Brown,#A52A2A
BurlyWood,#DEB887
CadetBlue,#5F9EA0
Chartreuse,#7FFF00
Coral,#FF7F50
CornflowerBlue,#6495ED
Crimson,#DC143C
DarkBlue,#00008B
Cyan,#00FFFF
DarkCyan,#008B8B
DarkGoldenRod,#B8860B
DarkGrey,#A9A9A9
DarkGreen,#006400
DarkMagenta,#8B008B
DarkOrange,#FF8C00
DarkOrchid,#9932CC
DarkSlateBlue,#483D8B
DarkSeaGreen,#8FBC8F
DarkTurquoise,#00CED1
DeepPink,#FF1493
DarkViolet,#9400D3
DodgerBlue,#1E90FF
OrangeRed,#FF4500
SpringGreen,#00FF7F
Baker-Mller Pink,#FF91AF
